abbey,#575b61
astra,#fae8b6
blue,#6767ce
boulder,#787878
catskill-white,#e1ecf2
celery,#9cd162
cod-gray,#1e1e1e
comet,#565970
cornflower-blue,#6796e6
cornflower,#94afe8
cornflower,#a2c2eb
dove-gray,#707070
ebony-clay,#202330
geraldine,#fe7c8e
golden-tainoi,#ffc85b
hippie-blue,#6089b4
hot-pink,#ff62a5
illusion,#f5a6c6
kobi,#e9a6b2
lavender-blush,#ffedf0
lavender-blush,#fff0f5
livid-brown,#472541
manatee,#9498a1
mandys-pink,#f3b4bf
mauve,#e6a1ff
medium-purple,#b267e6
moon-raker,#dcbff2
old-gold,#d0b344
pig-pink,#fde3e8
porsche,#ec9a5e
pumice,#c5c8c6
raw-sienna,#d0963a
rose,#ff0080
salt-box,#6d5d72
sea-pink,#eba4ac
shamrock,#37e884
shamrock,#3bc089
silver-tree,#58b896
sunglow,#fec831
sunset-orange,#f44747
tickle-me-pink,#ff7f9d
tulip-tree,#e5ac40
victoria,#4747a1
viking,#73b5d7
violet-red,#fa508c
white,#ffffff
wild-strawberry,#ff38a2
wild-strawberry,#ff4791
wisteria,#9e6dbc
xanadu,#6d7a72
yellow-metal,#765d36
